Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Remaining life of consumables;Remaining life of consumables;Remaining life of consumables;Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
2024-09-26 13:40:36;2024-09-26 13:47:42;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;0.00;596.29;0 h 0 min 0 sec;0.0000;0.00;0.00;0;99;99;100.00;100.00;100.00;;;2024-09-26 19:47:55;normal;596.29;00: 49: 41;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/f2edf074-6e97-4c01-9e16-943a14da6a3d;Manual termination
2024-09-26 08:21:21;2024-09-26 10:23:25;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;41.60;599.76;0 h 56 min 52 sec;0.9478;249.61;263.32;0;98;56;100.00;100.00;100.00;;;2024-09-26 16:23:40;normal;350.15;00: 49: 58;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/c8c7d99b-e857-45b5-abe5-7a7667cf1e40;Manual termination
2024-09-25 10:38:25;2024-09-25 11:40:47;coursives_F2;Coursives_F2_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;72.00;598.23;0 h 45 min 25 sec;0.7569;430.43;568.50;0;66;42;100.00;100.00;100.00;;;2024-09-25 17:41:00;normal;167.80;00: 49: 51;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/44a77a9e-87f7-4298-8c89-bbb4776d9fa5;Normal end
2024-09-25 08:45:03;2024-09-25 10:00:09;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;92.50;601.82;1 h 0 min 31 sec;1.0086;556.77;551.99;0;99;68;100.00;100.00;100.00;;;2024-09-25 16:00:23;normal;45.05;00: 50: 09;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/415a0c16-5509-4866-80cb-b1832ad9055d;Normal end
2024-09-25 00:17:08;2024-09-25 03:11:48;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;94.20;1,377.31;2 h 39 min 44 sec;2.6622;1,296.96;487.17;0;99;21;100.00;100.00;100.00;;;2024-09-25 09:11:56;normal;80.35;01: 54: 46;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/8eff54af-27ae-4b09-97f8-37c6040d4e84;Normal end
2024-09-24 10:32:28;2024-09-24 12:03:06;coursives_F2;Coursives_F2_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;90.10;598.52;1 h 8 min 53 sec;1.1481;539.22;469.64;0;64;28;100.00;100.00;100.00;;;2024-09-24 18:03:20;normal;59.30;00: 49: 52;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/6aca7ad1-8655-48b2-9b13-dbc3f8b1d832;Normal end
2024-09-24 08:17:58;2024-09-24 09:37:24;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;84.50;601.58;0 h 57 min 49 sec;0.9636;508.19;527.31;0;99;68;100.00;100.00;100.00;;;2024-09-24 15:37:38;normal;93.39;00: 50: 07;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/fb1b5de9-da91-4550-9c0e-0b360b6bd762;Normal end
2024-09-23 22:47:33;2024-09-24 08:16:16;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;78.70;1,629.31;2 h 56 min 51 sec;2.9475;1,281.92;434.89;0;99;99;100.00;100.00;100.00;;;2024-09-24 14:16:27;normal;347.38;02: 15: 46;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/0a96ce6d-13f6-4690-8fd8-b614247e96d6;Manual termination
2024-09-22 10:57:34;2024-09-22 13:33:41;coursives_F1;Correspondance_F1_K1;Atalian_Roissy;GS142-0230-J4P-P000;admin;92.70;993.75;2 h 15 min 52 sec;2.2644;921.20;406.81;0;98;27;100.00;100.00;100.00;;;2024-09-22 19:34:57;normal;72.55;01: 22: 48;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/0dd029db-e434-459e-a678-8f6cf1af0aa7;Normal end
2024-09-21 00:09:17;2024-09-21 03:13:28;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;94.00;1,376.47;2 h 50 min 1 sec;2.8336;1,293.89;456.62;0;99;15;100.00;100.00;100.00;;;2024-09-21 09:13:39;normal;82.58;01: 54: 42;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/d98b6a0d-f30c-4ee6-8972-4a1dab1370f0;Normal end
