Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Remaining life of consumables;Remaining life of consumables;Remaining life of consumables;Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
21/07/2024 08:16;21/07/2024 11:40;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;92.00;994.58;2 h 32 min 12 sec;2.5367;915.06;360.72;0;99;15;100.00;100.00;100.00;;;21/07/2024 17:40;normal;79.53;01:22:52;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/d71d7dfb-6918-4a98-9368-328bcdb17866;Normal end
20/07/2024 15:50;21/07/2024 08:13;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;79.34;596.88;0 h 54 min 27 sec;0.9075;473.56;521.71;0;99;99;100.00;100.00;100.00;;;21/07/2024 14:13;normal;123.32;00:49:44;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/8f8ff15c-4da8-475d-873e-f89dc05365f9;Manual termination
20/07/2024 15:44;20/07/2024 15:49;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;0.00;592.50;0 h 0 min 0 sec;0.0000;0.00;0.00;0;99;99;100.00;100.00;100.00;;;20/07/2024 21:49;normal;592.50;00:49:22;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/0cf13843-d35a-42dd-9e48-b9d17c3b418c;Manual termination
20/07/2024 09:42;20/07/2024 15:42;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;0.00;596.29;0 h 0 min 0 sec;0.0000;0.00;0.00;0;96;99;100.00;100.00;100.00;;;20/07/2024 21:42;normal;596.29;00:49:41;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/b4f415da-7fd2-4303-8e98-163b2d2b1bbe;Manual termination
19/07/2024 23:23;20/07/2024 09:41;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_ADP;GS142-0230-J4P-P000;user;87.47;1,625.12;3 h 11 min 39 sec;3.1942;1,421.50;445.02;0;99;96;100.00;100.00;100.00;;;20/07/2024 15:41;normal;203.62;02:15:25;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/489f1a76-412d-4f33-8e57-c878cf6efe29;Manual termination
19/07/2024 18:26;19/07/2024 23:21;coursives_F2;Correspondance_F2_K2;Atalian_ADP;GS142-0230-J4P-P000;user;56.53;1,107.33;1 h 29 min 59 sec;1.4997;626.01;417.34;0;99;99;100.00;100.00;100.00;;;20/07/2024 05:20;normal;481.32;01:32:16;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/983851cb-bfff-46d6-b119-f582077e2b9c;Manual termination
19/07/2024 08:53;19/07/2024 13:50;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;71.80;989.44;3 h 9 min 56 sec;3.1656;710.39;224.40;0;98;5;100.00;100.00;100.00;;;19/07/2024 19:50;normal;279.05;01:22:27;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/f8ee97d8-f09b-45d3-9507-a9a3919e0799;Manual termination
19/07/2024 08:29;19/07/2024 08:51;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;0.00;982.15;0 h 0 min 0 sec;0.0000;0.00;0.00;0;99;98;100.00;100.00;100.00;;;19/07/2024 14:51;normal;982.15;01:21:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/056371f0-baff-4a47-aa9b-7f9ed2f9b591;Manual termination
18/07/2024 22:59;19/07/2024 08:23;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_ADP;GS142-0230-J4P-P000;user;87.43;1,624.05;3 h 12 min 36 sec;3.2100;1,419.89;442.31;0;99;99;100.00;100.00;100.00;;;19/07/2024 14:23;normal;204.16;02:15:20;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/4da12877-3272-4af8-a73f-5d4826eaf5d6;Manual termination
18/07/2024 17:11;18/07/2024 19:59;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.34;598.34;2 h 27 min 53 sec;2.4647;552.53;224.16;0;91;22;100.00;100.00;100.00;;;19/07/2024 01:59;normal;45.81;00:49:51;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/68308e4d-8676-4bd1-b7e1-1755b4f1b812;Normal end
