Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;T D centre;02/09/2024 09:58;09:59:41;100;1;1,5;29;1250
Central Brioche;L centre;02/09/2024 09:59;11:11:06;74;71;1;944;797
Central Brioche;L centre;02/09/2024 11:18;11:26:52;78;9;0,6;65;448
grouper air fra;Parcours 5;02/09/2024 11:51;12:33:16;100;42;1,4;809;1167
grouper air fra;T F af;02/09/2024 12:33;12:35:25;100;2;2,2;40;1602
Central Brioche;T D centre;02/09/2024 12:36;12:37:50;100;1;1,5;29;1221
Central Brioche;L centre;02/09/2024 12:38;13:10:53;42;32;1,2;526;976
Central Brioche;T D centre;03/09/2024 07:22;07:23:59;100;1;1,5;29;1280
Central Brioche;L centre;03/09/2024 07:24;08:45:19;99;81;1,1;1243;927
Central Brioche;L centre;03/09/2024 08:58;08:59:23;100;1;0,7;6;619
grouper air fra;Parcours 5;03/09/2024 09:46;10:28:41;100;42;1,4;807;1153
grouper air fra;T F af;03/09/2024 10:29;10:30:55;100;2;2,2;40;1585
Central Brioche;T D centre;03/09/2024 10:38;10:40:23;100;2;1,4;29;1166
Central Brioche;L centre;03/09/2024 10:40;11:22:42;55;42;1,2;678;978
Central Brioche;L centre;03/09/2024 11:24;11:53:17;85;28;1,1;407;867
grouper air fra;Parcours 5;03/09/2024 12:11;12:55:35;100;44;1,4;815;1120
grouper air fra;T F af;03/09/2024 12:56;12:57:43;100;1;2,2;40;1715
Central Brioche;T D centre;04/09/2024 06:26;06:27:41;100;1;1,5;29;1250
Central Brioche;L centre;04/09/2024 06:28;06:51:46;30;24;1,2;373;955
Central Brioche;L centre;04/09/2024 07:07;07:17:06;41;9;1,2;147;953
Central Brioche;L centre;04/09/2024 07:43;08:07:57;73;25;1,1;376;911
Central Brioche;L centre;04/09/2024 08:16;08:30:19;88;13;1,1;195;877
grouper air fra;Parcours 5;04/09/2024 08:41;09:23:40;100;42;1,4;808;1148
grouper air fra;T F af;04/09/2024 09:24;09:26:01;100;2;2;41;1518
Central Brioche;T D centre;04/09/2024 09:43;09:45:13;100;2;1,4;29;1129
Central Brioche;L centre;04/09/2024 09:45;10:33:56;62;48;1,2;765;957
Central Brioche;T D centre;04/09/2024 10:51;10:52:26;100;1;1,6;29;1312
Central Brioche;L centre;04/09/2024 10:52;12:08:09;92;75;1,2;1166;935
Central Brioche;L centre;04/09/2024 12:08;12:16:39;100;8;0,9;98;738
Central Brioche;L novotel;04/09/2024 12:30;12:47:01;100;17;1,7;394;1403
Central Brioche;L brioche;04/09/2024 12:47;12:50:12;4;3;0,7;25;579
Central Brioche;T D centre;05/09/2024 06:39;06:40:31;100;1;1,5;29;1180
Central Brioche;L centre;05/09/2024 06:41;06:45:05;3;4;0,9;47;708
Central Brioche;T D centre;05/09/2024 07:00;07:01:40;100;1;1,5;29;1280
Central Brioche;L centre;05/09/2024 07:02;08:08:39;82;66;1,1;1021;926
Central Brioche;T D centre;05/09/2024 08:43;08:44:46;100;1;1,6;29;1265
Central Brioche;L centre;05/09/2024 08:45;10:01:07;96;76;1,2;1177;936
Central Brioche;T D centre;05/09/2024 10:29;10:30:54;100;2;1,4;30;1160
Central Brioche;L centre;05/09/2024 10:31;11:02:08;39;31;1,2;487;956
Central Brioche;T D centre;05/09/2024 11:10;11:11:48;100;1;1,6;29;1329
Central Brioche;L centre;05/09/2024 11:12;12:03:51;67;51;1,2;828;969
Central Brioche;T D centre;05/09/2024 12:17;12:19:03;100;1;1,1;19;921
Central Brioche;L centre;05/09/2024 12:20;13:37:19;96;77;1,2;1187;932
Central Brioche;T D centre;06/09/2024 07:01;07:01:53;100;1;0,4;3;307
Central Brioche;L centre;06/09/2024 07:04;07:07:28;3;3;0,9;44;768
Central Brioche;T D centre;06/09/2024 07:13;07:14:58;100;1;1,5;29;1235
Central Brioche;L centre;06/09/2024 07:15;07:24:54;10;9;1,1;138;882
Central Brioche;L centre;06/09/2024 07:42;07:43:05;12;1;0,9;11;680
Central Brioche;T D centre;06/09/2024 08:33;08:34:58;100;1;1,7;29;1346
Central Brioche;L centre;06/09/2024 08:34;09:16:41;53;42;1,2;672;972
-;test;11/09/2024 10:54;10:56:10;100;2;2,3;49;1853
Central Brioche;T D centre;11/09/2024 11:16;11:17:37;100;1;1,5;29;1221
