Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;Porte 1-3d H;08/07/2024 07:52:38;08:52:16;100;60;1;804;811
-;Pt 3-5d Triplex;08/07/2024 09:45:57;09:53:09;9;7;0,8;82;682
-;Pt 3-5d Triplex;08/07/2024 09:57:45;10:22:18;36;25;0,9;310;761
-;Pt 3-5d Triplex;08/07/2024 10:23:23;10:56:52;92;33;1,1;493;887
-;F14 Pt9 H;08/07/2024 12:08:47;12:13:49;7;5;0,4;30;358
-;Triplex 17d H;08/07/2024 12:30:33;13:04:14;100;34;1,2;522;932
-;Depart loc a13D;08/07/2024 23:12:24;23:14:04;100;2;3,7;0;0
-;switch 13D a 4D;08/07/2024 23:14:41;23:18:22;100;4;4;0;0
-;8D a esca fil14;08/07/2024 23:19:10;23:26:27;7;7;2;109;898
-;8D a esca fil14;09/07/2024 00:10:49;00:26:25;33;16;2,2;458;1769
-;8D a esca fil14;09/07/2024 00:33:30;01:07:35;84;34;2;915;1617
-;8D a esca fil14;09/07/2024 01:08:17;01:09:56;87;2;2,3;51;1875
-;8D a esca fil14;09/07/2024 01:12:06;01:12:48;89;1;2,7;25;2152
-;8D a esca fil14;09/07/2024 01:35:13;01:43:32;100;8;2,2;148;1074
-;switch 4D a 13D;09/07/2024 01:44:09;01:47:32;100;3;4,2;0;0
-;escaFIL14 a 12D;09/07/2024 01:48:13;03:01:15;73;73;2,3;2236;1843
-;escaFIL14 a 12D;09/07/2024 03:16:10;03:30:43;88;15;2,5;482;1994
-;escaFIL14 a 12D;09/07/2024 03:35:41;03:50:02;100;14;2,1;373;1562
-;12D a 13D;09/07/2024 03:50:37;04:38:46;60;48;1,9;1216;1520
-;Porte 1-3d H;09/07/2024 08:06:05;08:20:42;20;15;0,9;168;691
-;Porte 1-3d H;09/07/2024 08:23:51;08:44:40;58;21;1,1;316;914
-;Porte 1-3d H;09/07/2024 08:48:05;09:12:59;100;25;1;322;777
-;F14 Pt9 H;09/07/2024 10:08:11;10:12:57;7;5;0,5;30;379
-;F14 Pt9 H;09/07/2024 10:33:04;11:06:33;80;33;0,7;311;560
-;Triplex 17d H;09/07/2024 11:20:40;11:54:28;100;34;1,2;522;929
-;Depart loc a13D;09/07/2024 22:41:36;22:43:17;100;2;3,6;0;0
-;escaFIL14 a 12D;09/07/2024 22:43:55;23:38:29;43;55;1,8;1280;1412
-;escaFIL14 a 12D;09/07/2024 23:44:05;23:46:37;46;3;2,6;88;2091
-;escaFIL14 a 12D;09/07/2024 23:58:10;00:48:57;92;51;2,2;1504;1783
-;escaFIL14 a 12D;10/07/2024 01:00:12;01:10:41;100;10;2,1;258;1481
-;12D a 13D;10/07/2024 01:11:14;01:46:30;48;35;2,1;997;1702
-;12D a 13D;10/07/2024 02:01:27;02:42:01;100;41;2,2;1201;1783
-;switch 13D a 4D;10/07/2024 02:42:37;02:46:18;100;4;4;0;0
-;8D a esca fil14;10/07/2024 02:47:06;02:48:06;3;1;3,8;0;0
-;8D a esca fil14;10/07/2024 02:48:47;03:16:51;42;28;1,9;720;1545
-;Porte 1-3d H;10/07/2024 07:41:33;07:49:34;9;8;0,8;81;609
-;Porte 1-3d H;10/07/2024 07:50:35;08:43:43;100;53;1;722;818
-;Pt 3-5d Triplex;10/07/2024 09:58:01;10:05:30;9;7;0,8;77;620
-;Pt 3-5d Triplex;10/07/2024 10:52:49;11:00:24;17;8;0,8;82;650
-;Triplex 17d H;10/07/2024 11:19:57;11:53:52;100;34;1,2;524;930
-;Depart loc a13D;10/07/2024 23:27:10;23:28:51;100;2;3,6;0;0
-;12D a 13D;10/07/2024 23:29:29;00:42:18;100;73;2,2;2144;1773
-;13D a 14D;11/07/2024 00:42:59;00:45:03;5;2;2,8;77;2234
-;13D a 14D;11/07/2024 01:30:50;02:13:04;100;42;2,8;1588;2264
-;14D a 15D;11/07/2024 02:13:40;02:46:09;72;32;2,2;927;1718
-;14D a 15D;11/07/2024 03:03:11;03:14:28;100;11;2,4;328;1750
-;Porte 1-3d H;11/07/2024 07:43:14;07:54:36;13;11;0,8;127;674
-;Porte 1-3d H;11/07/2024 07:55:39;08:44:25;100;49;1;676;834
-;Pt 3-5d Triplex;11/07/2024 09:06:03;09:11:33;7;6;0,8;56;610
-;Pt 3-5d Triplex;11/07/2024 09:24:40;09:30:26;7;6;0,8;59;615
-;Pt 3-5d Triplex;11/07/2024 10:03:34;11:03:21;94;60;1;770;775
-;Pt 3-5d Triplex;11/07/2024 11:04:36;11:09:07;100;5;0,9;56;745
-;Depart loc a13D;11/07/2024 22:33:23;22:35:02;100;2;3,7;0;0
-;12D a 13D;11/07/2024 22:35:42;23:30:39;71;55;2;1449;1588
-;12D a 13D;11/07/2024 23:49:05;00:09:07;100;20;2,6;698;2098
-;13D a 14D;12/07/2024 00:09:49;00:54:30;100;45;2,8;1677;2260
-;14D a 15D;12/07/2024 00:55:05;01:19:00;60;24;2,4;760;1914
-;14D a 15D;12/07/2024 01:49:28;02:09:31;100;20;2;516;1508
-;15D a 16D;12/07/2024 02:10:07;02:23:16;28;13;2,8;458;2093
-;15D a 16D;12/07/2024 03:21:24;04:02:23;100;41;2,2;1162;1708
-;Porte 1-3d H;12/07/2024 07:52:07;08:50:49;100;59;1;802;822
-;Triplex 17d H;12/07/2024 09:19:32;09:53:11;100;34;1,2;522;933
-;Pt 14d Triplex;12/07/2024 10:25:07;10:27:07;6;2;0,9;23;711
-;Depart loc a13D;12/07/2024 23:05:29;23:07:11;100;2;3,6;0;0
-;switch 13D a 4D;12/07/2024 23:08:02;23:11:46;100;4;3,9;0;0
-;8D a esca fil14;12/07/2024 23:12:34;23:13:35;3;1;3,8;0;0
-;8D a esca fil14;12/07/2024 23:14:17;00:03:53;80;50;2,1;1397;1696
-;8D a esca fil14;13/07/2024 00:22:57;00:31:19;94;8;2,3;257;1845
-;Porte 1-3d H;13/07/2024 07:52:04;08:18:31;30;26;0,7;262;596
-;Pt 14d Triplex;13/07/2024 08:58:29;09:03:21;16;5;1;63;782
-;Triplex 17d H;13/07/2024 09:22:15;09:52:40;91;30;1,1;464;919
-;Porte 1-3d H;16/07/2024 07:43:51;08:42:09;100;58;1;799;826
-;F14 Pt9 H;16/07/2024 10:11:46;10:15:46;7;4;0,4;24;364
-;F14 Pt9 H;16/07/2024 10:23:11;10:26:51;7;4;0,6;28;464
-;Triplex 17d H;16/07/2024 11:56:50;12:56:06;100;59;0,7;581;590
-;Pt 14d Triplex;16/07/2024 13:06:59;13:09:00;6;2;1;27;795
-;Depart loc a13D;16/07/2024 22:35:24;22:36:05;100;1;3,8;0;0
-;escaFIL14 a 12D;16/07/2024 22:38:18;23:53:25;73;75;2,2;2241;1796
-;escaFIL14 a 12D;17/07/2024 00:13:34;01:32:43;82;79;2,4;2552;1941
-;escaFIL14 a 12D;17/07/2024 01:44:39;01:55:35;92;11;2;299;1645
-;escaFIL14 a 12D;17/07/2024 01:59:47;02:10:00;100;10;2,2;258;1520
-;12D a 13D;17/07/2024 02:10:33;03:14:57;90;64;2,2;1869;1747
-;Porte 1-3d H;17/07/2024 07:40:49;08:35:57;92;55;1;739;807
-;Pt 3-5d Triplex;17/07/2024 09:13:53;09:29:38;21;16;0,9;191;731
